source,target,edge_type,relation
"0_0","Amplifier","contains",""
"0_0","Filter","contains",""
"0_0","Signal","contains",""
"0_0","BJT","contains",""
"0_0","Transistor","contains",""
"0_0","Communication System","contains",""
"0_0","Resistor","contains",""
"0_0","Beta","contains",""
"0_0","Capacitor","contains",""
"0_0","Circuit","contains",""
"Amplifier","0_0","related_to",""
"Amplifier","Transistor","uses","uses"
"Filter","0_0","related_to",""
"Signal","0_0","related_to",""
"Signal","Filter","related_to","processed_by"
"BJT","0_0","related_to",""
"BJT","Beta","related_to","has_parameter"
"Transistor","0_0","related_to",""
"Communication System","0_0","related_to",""
"Resistor","0_0","related_to",""
"Beta","0_0","related_to",""
"Capacitor","0_0","related_to",""
"Circuit","0_0","related_to",""
"Circuit","Resistor","contains","contains"
